Enrolment Levels in School - 2006 : All,,,,,
State,Govt,Pvt,Other,Out of School,Total
All India,0.7114,0.1884,0.0127,0.0875,1.0000
Andhra Pradesh & Telengana,0.7523,0.1852,0.0017,0.0608,1.0000
Arunachal Pradesh,0.7441,0.1485,0.0110,0.0965,1.0000
Assam,0.8336,0.0955,0.0125,0.0584,1.0000
Bihar,0.7117,0.1103,0.0330,0.1450,1.0000
Chhattisgarh,0.8031,0.0877,0.0009,0.1083,1.0000
Dadra & Nagar Haveli,0.7393,0.1635,0.0000,0.0972,1.0000
Daman & Diu,0.7732,0.2109,0.0000,0.0159,1.0000
Goa,0.5297,0.4436,0.0086,0.0181,1.0000
Gujarat,0.8664,0.0542,0.0009,0.0785,1.0000
Haryana,0.5060,0.4209,0.0072,0.0658,1.0000
Himachal Pradesh,0.7988,0.1808,0.0004,0.0200,1.0000
Jammu & Kashmir,0.6060,0.3033,0.0321,0.0586,1.0000
Jharkhand,0.7295,0.1131,0.0438,0.1136,1.0000
Karnataka,0.7574,0.1703,0.0037,0.0685,1.0000
Kerala,0.5351,0.4576,0.0013,0.0059,1.0000
Madhya Pradesh,0.8199,0.1152,0.0073,0.0577,1.0000
Maharashtra,0.7255,0.2146,0.0026,0.0573,1.0000
Manipur,0.3512,0.5706,0.0054,0.0728,1.0000
Meghalaya,0.4907,0.4099,0.0053,0.0941,1.0000
Mizoram,0.7159,0.2210,0.0025,0.0605,1.0000
Nagaland,0.4608,0.4644,0.0008,0.0740,1.0000
Odisha,0.8281,0.0452,0.0041,0.1226,1.0000
Pondicherry,0.7461,0.2452,0.0018,0.0069,1.0000
Punjab,0.5504,0.3983,0.0037,0.0476,1.0000
Rajasthan,0.6183,0.2361,0.0033,0.1423,1.0000
Sikkim,NA,NA,NA,NA,NA
Tamil Nadu,0.7635,0.1915,0.0008,0.0442,1.0000
Tripura,0.8636,0.0491,0.0129,0.0745,1.0000
Uttar Pradesh,0.5947,0.3024,0.0187,0.0843,1.0000
Uttarakhand,0.7513,0.1992,0.0085,0.0410,1.0000
West Bengal,0.8454,0.0342,0.0133,0.1071,1.0000
