Enrolment Levels in School - 2012 : All,,,,,
State,Govt,Pvt,Other,Out_of_School,Total
All India,0.6480,0.2870,0.0120,0.0540,1.0000
Andhra Pradesh & Telengana,0.5780,0.3720,0.0050,0.0450,1.0000
Arunachal Pradesh,0.7540,0.2030,0.0030,0.0400,1.0000
Assam,0.7320,0.1620,0.0430,0.0620,1.0000
Bihar,0.8690,0.0630,0.0170,0.0510,1.0000
Chhattisgarh,0.8170,0.1310,0.0010,0.0510,1.0000
Dadra & Nagar Haveli,0.8100,0.1170,0.0020,0.0700,1.0000
Daman & Diu,0.8420,0.1440,0.0040,0.0100,1.0000
Goa,0.4810,0.5000,0.0170,0.0020,1.0000
Gujarat,0.8100,0.1340,0.0030,0.0540,1.0000
Haryana,0.4820,0.4900,0.0050,0.0230,1.0000
Himachal Pradesh,0.6980,0.2890,0.0000,0.0130,1.0000
Jammu & Kashmir,0.5280,0.4100,0.0260,0.0360,1.0000
Jharkhand,0.7680,0.1570,0.0160,0.0580,1.0000
Karnataka,0.7380,0.2270,0.0030,0.0330,1.0000
Kerala,0.4060,0.5880,0.0020,0.0030,1.0000
Madhya Pradesh,0.7570,0.1820,0.0100,0.0510,1.0000
Maharashtra,0.5670,0.4060,0.0020,0.0240,1.0000
Manipur,0.3030,0.6690,0.0050,0.0240,1.0000
Meghalaya,0.4410,0.4680,0.0180,0.0730,1.0000
Mizoram,0.7150,0.2430,0.0100,0.0310,1.0000
Nagaland,0.5840,0.3830,0.0010,0.0320,1.0000
Odisha,0.8540,0.0670,0.0020,0.0780,1.0000
Pondicherry,0.6100,0.3670,0.0060,0.0170,1.0000
Punjab,0.5280,0.4460,0.0020,0.0240,1.0000
Rajasthan,0.5260,0.3950,0.0050,0.0740,1.0000
Sikkim,0.6840,0.2650,0.0130,0.0380,1.0000
Tamil Nadu,0.7010,0.2820,0.0030,0.0140,1.0000
Tripura,0.9520,0.0320,0.0010,0.0150,1.0000
Uttar Pradesh,0.4130,0.4750,0.0230,0.0890,1.0000
Uttarakhand,0.6150,0.3490,0.0060,0.0290,1.0000
West Bengal,0.8630,0.0650,0.0180,0.0540,1.0000
