Reading Level Results For Enrolled Children  - 2007 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0745,0.1473,0.1549,0.1576,0.4657,1.0000
Andhra Pradesh & Telengana,0.0618,0.1205,0.1418,0.1256,0.5504,1.0000
Arunachal Pradesh,0.0389,0.2061,0.2067,0.2017,0.3465,1.0000
Assam,0.0644,0.1533,0.1755,0.1810,0.4258,1.0000
Bihar,0.1081,0.1670,0.1601,0.1328,0.4319,1.0000
Chhattisgarh,0.0636,0.1886,0.1559,0.1412,0.4507,1.0000
Dadra & Nagar Haveli,0.0337,0.1386,0.1559,0.1453,0.5265,1.0000
Daman & Diu,0.0396,0.1043,0.1695,0.1632,0.5234,1.0000
Goa,0.0093,0.0529,0.1014,0.1514,0.6850,1.0000
Gujarat,0.0533,0.1631,0.1683,0.1963,0.4189,1.0000
Haryana,0.0704,0.1182,0.1191,0.1199,0.5723,1.0000
Himachal Pradesh,0.0217,0.0943,0.1059,0.1226,0.6555,1.0000
Jammu & Kashmir,0.0336,0.1457,0.2727,0.1959,0.3520,1.0000
Jharkhand,0.0856,0.1860,0.1718,0.1577,0.3989,1.0000
Karnataka,0.0564,0.1523,0.1851,0.1907,0.4156,1.0000
Kerala,0.0177,0.0758,0.1254,0.1167,0.6643,1.0000
Madhya Pradesh,0.0221,0.1195,0.1479,0.1723,0.5382,1.0000
Maharashtra,0.0269,0.0880,0.1222,0.1824,0.5805,1.0000
Manipur,0.0252,0.1443,0.1952,0.1917,0.4435,1.0000
Meghalaya,0.0474,0.1841,0.2059,0.1720,0.3905,1.0000
Mizoram,NA,NA,NA,NA,NA,NA
Nagaland,0.0208,0.1397,0.2314,0.1959,0.4121,1.0000
Odisha,0.0914,0.1466,0.1390,0.1837,0.4393,1.0000
Pondicherry,0.0495,0.1365,0.1833,0.2090,0.4217,1.0000
Punjab,0.0363,0.1279,0.1492,0.1449,0.5418,1.0000
Rajasthan,0.0857,0.1548,0.1469,0.1426,0.4700,1.0000
Sikkim,0.0368,0.1067,0.2540,0.1890,0.4135,1.0000
Tamil Nadu,0.1031,0.1102,0.1707,0.1942,0.4217,1.0000
Tripura,0.0422,0.1068,0.1607,0.1787,0.5117,1.0000
Uttar Pradesh,0.1235,0.1989,0.1570,0.1338,0.3867,1.0000
Uttarakhand,0.0652,0.1336,0.1449,0.1301,0.5262,1.0000
West Bengal,0.0465,0.1285,0.1678,0.2090,0.4482,1.0000
