Enrolment Levels in School - 2007 : All,,,,,
State,Govt,Pvt,Other,Out of School,Total
All India,0.7291,0.2018,0.0118,0.0573,1.0000
Andhra Pradesh & Telengana,0.6390,0.2932,0.0046,0.0632,1.0000
Arunachal Pradesh,0.7946,0.1246,0.0116,0.0692,1.0000
Assam,0.7528,0.1165,0.0427,0.0880,1.0000
Bihar,0.8316,0.0733,0.0214,0.0738,1.0000
Chhattisgarh,0.8304,0.0892,0.0022,0.0782,1.0000
Dadra & Nagar Haveli,0.8644,0.0723,0.0009,0.0624,1.0000
Daman & Diu,0.7508,0.2188,0.0016,0.0288,1.0000
Goa,0.6059,0.3874,0.0016,0.0051,1.0000
Gujarat,0.8724,0.0724,0.0036,0.0516,1.0000
Haryana,0.5825,0.3615,0.0048,0.0511,1.0000
Himachal Pradesh,0.7519,0.2319,0.0010,0.0152,1.0000
Jammu & Kashmir,0.6461,0.2894,0.0194,0.0451,1.0000
Jharkhand,0.7980,0.1067,0.0331,0.0623,1.0000
Karnataka,0.8209,0.1273,0.0039,0.0480,1.0000
Kerala,0.4338,0.5536,0.0051,0.0076,1.0000
Madhya Pradesh,0.8217,0.1356,0.0053,0.0374,1.0000
Maharashtra,0.6611,0.3044,0.0050,0.0295,1.0000
Manipur,0.3571,0.5713,0.0170,0.0546,1.0000
Meghalaya,0.4745,0.3984,0.0279,0.0992,1.0000
Mizoram,NA,NA,NA,NA,NA
Nagaland,0.5467,0.4072,0.0005,0.0457,1.0000
Odisha,0.8404,0.0407,0.0102,0.1087,1.0000
Pondicherry,0.7675,0.2058,0.0010,0.0258,1.0000
Punjab,0.6250,0.3232,0.0077,0.0441,1.0000
Rajasthan,0.6420,0.2642,0.0048,0.0890,1.0000
Sikkim,0.6978,0.2692,0.0035,0.0295,1.0000
Tamil Nadu,0.8110,0.1601,0.0020,0.0268,1.0000
Tripura,0.8703,0.0673,0.0048,0.0575,1.0000
Uttar Pradesh,0.6310,0.2998,0.0147,0.0545,1.0000
Uttarakhand,0.7123,0.2423,0.0089,0.0366,1.0000
West Bengal,0.8698,0.0467,0.0220,0.0615,1.0000
