Arithmetic Level Results for Enrolled Children - 2007 : All,,,,,,
State,Nothing,NumRec1-9,NumRec11-,Subtracti,Division,Total
All India,0.0762,0.1517,0.2019,0.2182,0.3521,1.0000
Andhra Pradesh & Telengana,0.0448,0.0927,0.2669,0.2415,0.3541,1.0000
Arunachal Pradesh,0.0369,0.1152,0.2326,0.2689,0.3464,1.0000
Assam,0.0624,0.1644,0.2172,0.2768,0.2792,1.0000
Bihar,0.1226,0.1569,0.1497,0.1779,0.3928,1.0000
Chhattisgarh,0.0614,0.2090,0.2016,0.2123,0.3156,1.0000
Dadra & Nagar Haveli,0.0316,0.1743,0.2174,0.2136,0.3630,1.0000
Daman & Diu,0.0284,0.1280,0.2118,0.2122,0.4196,1.0000
Goa,0.0147,0.0718,0.1070,0.1813,0.6252,1.0000
Gujarat,0.0527,0.1673,0.2251,0.2437,0.3112,1.0000
Haryana,0.0685,0.1157,0.1359,0.1631,0.5167,1.0000
Himachal Pradesh,0.0190,0.0914,0.1463,0.2024,0.5409,1.0000
Jammu & Kashmir,0.0292,0.0937,0.2389,0.3022,0.3359,1.0000
Jharkhand,0.0983,0.2042,0.1749,0.2032,0.3193,1.0000
Karnataka,0.0579,0.1275,0.3114,0.2626,0.2407,1.0000
Kerala,0.0163,0.0776,0.1994,0.2663,0.4404,1.0000
Madhya Pradesh,0.0237,0.1203,0.1806,0.2074,0.4679,1.0000
Maharashtra,0.0252,0.1183,0.2219,0.2571,0.3776,1.0000
Manipur,0.0189,0.0808,0.2147,0.2413,0.4443,1.0000
Meghalaya,0.0465,0.1506,0.2356,0.2318,0.3354,1.0000
Mizoram,NA,NA,NA,NA,NA,NA
Nagaland,0.0184,0.0998,0.2505,0.2600,0.3714,1.0000
Odisha,0.1007,0.1600,0.1967,0.2318,0.3108,1.0000
Pondicherry,0.0670,0.1135,0.2191,0.2787,0.3217,1.0000
Punjab,0.0461,0.1429,0.1398,0.1995,0.4717,1.0000
Rajasthan,0.0863,0.1651,0.1811,0.1840,0.3834,1.0000
Sikkim,0.0086,0.0725,0.2138,0.2813,0.4238,1.0000
Tamil Nadu,0.0857,0.0960,0.2476,0.2852,0.2854,1.0000
Tripura,0.0420,0.0961,0.1870,0.2492,0.4256,1.0000
Uttar Pradesh,0.1341,0.2234,0.1954,0.1760,0.2711,1.0000
Uttarakhand,0.0655,0.1417,0.1820,0.1840,0.4267,1.0000
West Bengal,0.0433,0.1386,0.1719,0.2366,0.4097,1.0000
