Arithmetic Level Results for Enrolled Children - 2014 : All,,,,,,
State,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Total
All India,0.1070,0.1800,0.2740,0.1860,0.2530,1.0000
Andhra Pradesh & Telengana,0.0800,0.0810,0.3030,0.2500,0.2860,1.0000
Arunachal Pradesh,0.1000,0.0850,0.3180,0.2880,0.2080,1.0000
Assam,0.1200,0.2120,0.3190,0.2170,0.1320,1.0000
Bihar,0.1430,0.2040,0.1890,0.1420,0.3210,1.0000
Chhattisgarh,0.0840,0.2400,0.3050,0.1860,0.1850,1.0000
Dadra & Nagar Haveli,0.1040,0.2300,0.3580,0.1810,0.1260,1.0000
Daman & Diu,0.0180,0.2010,0.3440,0.1880,0.2490,1.0000
Goa,0.0240,0.0680,0.3400,0.2760,0.2920,1.0000
Gujarat,0.1090,0.2050,0.3120,0.1920,0.1820,1.0000
Haryana,0.0570,0.1150,0.1800,0.1950,0.4530,1.0000
Himachal Pradesh,0.0250,0.0880,0.2420,0.2260,0.4200,1.0000
Jammu & Kashmir,0.0490,0.1040,0.3120,0.2990,0.2370,1.0000
Jharkhand,0.1370,0.1980,0.2530,0.1760,0.2360,1.0000
Karnataka,0.0920,0.1100,0.3570,0.2390,0.2010,1.0000
Kerala,0.0360,0.0610,0.3170,0.2240,0.3620,1.0000
Madhya Pradesh,0.1400,0.2400,0.2900,0.1480,0.1820,1.0000
Maharashtra,0.0840,0.1950,0.3580,0.1790,0.1840,1.0000
Manipur,0.0240,0.0680,0.3390,0.2240,0.3460,1.0000
Meghalaya,0.0940,0.1320,0.4040,0.2470,0.1240,1.0000
Mizoram,0.0420,0.1070,0.2360,0.2590,0.3570,1.0000
Nagaland,0.0390,0.1160,0.3200,0.2880,0.2370,1.0000
Odisha,0.0810,0.1800,0.2800,0.2150,0.2440,1.0000
Pondicherry,0.0370,0.0800,0.3840,0.2520,0.2460,1.0000
Punjab,0.0410,0.1130,0.2410,0.2160,0.3880,1.0000
Rajasthan,0.1130,0.1910,0.2380,0.1690,0.2890,1.0000
Sikkim,0.0230,0.0590,0.3030,0.2880,0.3260,1.0000
Tamil Nadu,0.0540,0.0890,0.3350,0.2530,0.2690,1.0000
Tripura,0.0380,0.1620,0.3040,0.2710,0.2260,1.0000
Uttar Pradesh,0.1460,0.2290,0.2320,0.1540,0.2390,1.0000
Uttarakhand,0.0750,0.1620,0.2840,0.1850,0.2930,1.0000
West Bengal,0.0680,0.1710,0.3050,0.1850,0.2710,1.0000
