Reading Level Results For Enrolled Children  - 2009 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0693,0.1495,0.1444,0.1686,0.4681,1.0000
Andhra Pradesh & Telengana,0.0591,0.1364,0.1488,0.1515,0.5043,1.0000
Arunachal Pradesh,0.0169,0.1442,0.1923,0.1917,0.4549,1.0000
Assam,0.0816,0.1643,0.1724,0.1770,0.4046,1.0000
Bihar,0.1101,0.1742,0.1524,0.1450,0.4182,1.0000
Chhattisgarh,0.0276,0.1476,0.1361,0.1671,0.5216,1.0000
Dadra & Nagar Haveli,0.0046,0.1121,0.1112,0.2614,0.5107,1.0000
Daman & Diu,0.0373,0.1102,0.1242,0.2100,0.5182,1.0000
Goa,0.0058,0.0444,0.0738,0.1249,0.7510,1.0000
Gujarat,0.0713,0.1742,0.1420,0.1896,0.4229,1.0000
Haryana,0.0475,0.1317,0.1326,0.1388,0.5494,1.0000
Himachal Pradesh,0.0211,0.1009,0.1181,0.1632,0.5968,1.0000
Jammu & Kashmir,0.0350,0.1381,0.2115,0.2307,0.3847,1.0000
Jharkhand,0.0827,0.1957,0.1749,0.1647,0.3820,1.0000
Karnataka,0.0412,0.1289,0.1543,0.2125,0.4631,1.0000
Kerala,0.0106,0.0622,0.1160,0.1698,0.6415,1.0000
Madhya Pradesh,0.0135,0.1117,0.1202,0.1742,0.5805,1.0000
Maharashtra,0.0206,0.0769,0.1065,0.1844,0.6116,1.0000
Manipur,0.0164,0.1119,0.1714,0.1951,0.5051,1.0000
Meghalaya,0.1097,0.2907,0.1574,0.1584,0.2838,1.0000
Mizoram,0.0323,0.0981,0.2146,0.1937,0.4613,1.0000
Nagaland,0.0155,0.1561,0.2172,0.2021,0.4092,1.0000
Odisha,0.0368,0.1377,0.1401,0.1617,0.5237,1.0000
Pondicherry,0.0240,0.0896,0.1652,0.1874,0.5338,1.0000
Punjab,0.0336,0.1420,0.1317,0.1440,0.5487,1.0000
Rajasthan,0.0795,0.1654,0.1357,0.1529,0.4665,1.0000
Sikkim,0.0227,0.1028,0.1776,0.2605,0.4363,1.0000
Tamil Nadu,0.0843,0.0987,0.1674,0.1972,0.4523,1.0000
Tripura,0.0257,0.1997,0.1851,0.2626,0.3269,1.0000
Uttar Pradesh,0.1208,0.2064,0.1558,0.1551,0.3620,1.0000
Uttarakhand,0.0475,0.1264,0.1213,0.1475,0.5573,1.0000
West Bengal,0.0511,0.1406,0.1354,0.2046,0.4683,1.0000
