Reading Level Results For Enrolled Children  - 2011 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0938,0.1572,0.1423,0.1503,0.4564,1.0000
Andhra Pradesh & Telengana,0.0456,0.1360,0.1576,0.1578,0.5030,1.0000
Arunachal Pradesh,0.0517,0.1460,0.2089,0.1784,0.4149,1.0000
Assam,0.0976,0.1720,0.1913,0.1804,0.3587,1.0000
Bihar,0.1506,0.1696,0.1403,0.1294,0.4101,1.0000
Chhattisgarh,0.0682,0.1792,0.1562,0.1592,0.4373,1.0000
Dadra & Nagar Haveli,0.0308,0.1620,0.1748,0.2545,0.3779,1.0000
Daman & Diu,0.0237,0.1178,0.1753,0.2356,0.4476,1.0000
Goa,0.0101,0.0720,0.1859,0.2379,0.4941,1.0000
Gujarat,0.0510,0.1219,0.1483,0.1852,0.4936,1.0000
Haryana,0.0599,0.1156,0.1196,0.1194,0.5856,1.0000
Himachal Pradesh,0.0204,0.0933,0.1102,0.1329,0.6431,1.0000
Jammu & Kashmir,0.0352,0.1679,0.1681,0.2232,0.4056,1.0000
Jharkhand,0.1343,0.1883,0.1510,0.1399,0.3865,1.0000
Karnataka,0.0473,0.1487,0.1665,0.1851,0.4524,1.0000
Kerala,0.0090,0.0732,0.1197,0.1212,0.6769,1.0000
Madhya Pradesh,0.1143,0.2063,0.1474,0.1411,0.3909,1.0000
Maharashtra,0.0275,0.0995,0.1283,0.1817,0.5630,1.0000
Manipur,0.0132,0.1230,0.1707,0.1588,0.5344,1.0000
Meghalaya,0.1359,0.1772,0.2299,0.1560,0.3009,1.0000
Mizoram,0.0154,0.1040,0.1584,0.1699,0.5524,1.0000
Nagaland,0.0327,0.1907,0.2260,0.1909,0.3598,1.0000
Odisha,0.0910,0.1334,0.1496,0.1814,0.4447,1.0000
Pondicherry,0.0631,0.1034,0.1497,0.2299,0.4539,1.0000
Punjab,0.0519,0.1479,0.1385,0.1303,0.5314,1.0000
Rajasthan,0.0977,0.1560,0.1337,0.1415,0.4711,1.0000
Sikkim,NA,NA,NA,NA,NA,NA
Tamil Nadu,0.0901,0.1070,0.1636,0.2005,0.4388,1.0000
Tripura,0.0387,0.1031,0.1444,0.1777,0.5361,1.0000
Uttar Pradesh,0.1567,0.2120,0.1199,0.1116,0.3998,1.0000
Uttarakhand,0.0694,0.1439,0.1304,0.1283,0.5281,1.0000
West Bengal,0.0546,0.1472,0.1497,0.1705,0.4779,1.0000
