Enrolment Levels in School - 2018 : All,,,,,
State,Govt,Pvt,Other,Out_of_School,Total
All India,0.6410,0.3040,0.0070,0.0490,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA
Arunachal Pradesh,0.6210,0.3180,0.0070,0.0540,1.0000
Assam,0.7020,0.2420,0.0130,0.0430,1.0000
Bihar,0.7770,0.1550,0.0100,0.0580,1.0000
Chhattisgarh,0.7400,0.1890,0.0000,0.0710,1.0000
Dadra & Nagar Haveli,NA,NA,NA,NA,NA
Daman & Diu,NA,NA,NA,NA,NA
Goa,NA,NA,NA,NA,NA
Gujarat,0.8170,0.1350,0.0010,0.0480,1.0000
Haryana,0.4320,0.5360,0.0040,0.0280,1.0000
Himachal Pradesh,0.6150,0.3770,0.0010,0.0080,1.0000
Jammu & Kashmir,0.5960,0.3690,0.0030,0.0320,1.0000
Jharkhand,0.7630,0.1890,0.0030,0.0440,1.0000
Karnataka,0.6940,0.2870,0.0030,0.0160,1.0000
Kerala,0.4990,0.4440,0.0530,0.0030,1.0000
Madhya Pradesh,0.6780,0.2450,0.0010,0.0760,1.0000
Maharashtra,0.5550,0.4300,0.0010,0.0140,1.0000
Manipur,0.2820,0.6920,0.0030,0.0230,1.0000
Meghalaya,0.3470,0.5720,0.0040,0.0770,1.0000
Mizoram,0.7240,0.2670,0.0000,0.0090,1.0000
Nagaland,0.4900,0.4750,0.0000,0.0350,1.0000
Odisha,0.8650,0.1030,0.0010,0.0310,1.0000
Pondicherry,NA,NA,NA,NA,NA
Punjab,0.4800,0.5000,0.0000,0.0200,1.0000
Rajasthan,0.5940,0.3420,0.0030,0.0600,1.0000
Sikkim,0.7170,0.2650,0.0010,0.0170,1.0000
Tamil Nadu,0.6800,0.3120,0.0020,0.0060,1.0000
Tripura,0.8580,0.1240,0.0060,0.0110,1.0000
Uttar Pradesh,0.4180,0.4870,0.0120,0.0840,1.0000
Uttarakhand,0.5700,0.3950,0.0080,0.0270,1.0000
West Bengal,0.8690,0.0700,0.0200,0.0410,1.0000
