Reading Level Results For Enrolled Children  - 2018 : All,,,,,,
State,Nothing,Letter,Word,Std1_Para,Std2_Para,Total
All India,0.1100,0.1480,0.1230,0.1370,0.4810,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA,NA
Arunachal Pradesh,0.0570,0.2490,0.2070,0.1410,0.3460,1.0000
Assam,0.0800,0.1490,0.1750,0.2020,0.3940,1.0000
Bihar,0.1780,0.1660,0.1010,0.1050,0.4490,1.0000
Chhattisgarh,0.0930,0.1540,0.0950,0.1110,0.5460,1.0000
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman & Diu,NA,NA,NA,NA,NA,NA
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.0660,0.1140,0.1240,0.1680,0.5280,1.0000
Haryana,0.0460,0.0830,0.1030,0.1360,0.6320,1.0000
Himachal Pradesh,0.0280,0.0850,0.0840,0.1100,0.6930,1.0000
Jammu & Kashmir,0.0370,0.1450,0.2130,0.1940,0.4100,1.0000
Jharkhand,0.1580,0.1910,0.1320,0.1430,0.3770,1.0000
Karnataka,0.0920,0.1440,0.1660,0.1660,0.4330,1.0000
Kerala,0.0130,0.0720,0.1280,0.0970,0.6910,1.0000
Madhya Pradesh,0.1350,0.2110,0.1070,0.1200,0.4260,1.0000
Maharashtra,0.0620,0.1160,0.0970,0.1480,0.5760,1.0000
Manipur,0.0090,0.1060,0.1590,0.1670,0.5590,1.0000
Meghalaya,0.0240,0.1550,0.1890,0.1960,0.4350,1.0000
Mizoram,0.0430,0.0760,0.1790,0.2110,0.4910,1.0000
Nagaland,0.0250,0.1050,0.2310,0.2040,0.4350,1.0000
Odisha,0.0920,0.1110,0.1360,0.1250,0.5360,1.0000
Pondicherry,NA,NA,NA,NA,NA,NA
Punjab,0.0530,0.1040,0.1020,0.0930,0.6480,1.0000
Rajasthan,0.1430,0.1560,0.0990,0.1250,0.4770,1.0000
Sikkim,0.0180,0.0620,0.1660,0.2170,0.5370,1.0000
Tamil Nadu,0.0650,0.1020,0.1740,0.2030,0.4570,1.0000
Tripura,0.0450,0.1280,0.1670,0.1960,0.4640,1.0000
Uttar Pradesh,0.1430,0.1810,0.0970,0.1130,0.4660,1.0000
Uttarakhand,0.0590,0.1100,0.0940,0.1390,0.5970,1.0000
West Bengal,0.0770,0.1320,0.1470,0.1810,0.4630,1.0000
