Reading Level Results For Enrolled Children  - 2010 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0767,0.1436,0.1452,0.1605,0.4741,1.0000
Andhra Pradesh & Telengana,0.0467,0.1298,0.1491,0.1543,0.5202,1.0000
Arunachal Pradesh,0.0382,0.2181,0.2170,0.1979,0.3288,1.0000
Assam,0.0866,0.1496,0.1779,0.1780,0.4078,1.0000
Bihar,0.1158,0.1485,0.1344,0.1392,0.4621,1.0000
Chhattisgarh,0.0347,0.1505,0.1466,0.1642,0.5041,1.0000
Dadra & Nagar Haveli,0.0159,0.0933,0.1351,0.1212,0.6346,1.0000
Daman & Diu,0.0717,0.1019,0.1772,0.2355,0.4137,1.0000
Goa,0.0128,0.0959,0.1440,0.1607,0.5865,1.0000
Gujarat,0.0515,0.1342,0.1569,0.2069,0.4505,1.0000
Haryana,0.0430,0.1210,0.1294,0.1314,0.5752,1.0000
Himachal Pradesh,0.0204,0.0997,0.1038,0.1287,0.6474,1.0000
Jammu & Kashmir,NA,NA,NA,NA,NA,NA
Jharkhand,0.0971,0.1581,0.1595,0.1550,0.4302,1.0000
Karnataka,0.0586,0.1449,0.1755,0.1890,0.4319,1.0000
Kerala,0.0075,0.0681,0.0904,0.1326,0.7014,1.0000
Madhya Pradesh,0.0420,0.1374,0.1616,0.1711,0.4880,1.0000
Maharashtra,0.0164,0.0895,0.1229,0.1822,0.5890,1.0000
Manipur,0.0189,0.1303,0.1753,0.1873,0.4881,1.0000
Meghalaya,0.0704,0.1956,0.1756,0.1796,0.3788,1.0000
Mizoram,0.0165,0.0836,0.1633,0.2491,0.4875,1.0000
Nagaland,0.0189,0.1370,0.2372,0.2318,0.3751,1.0000
Odisha,0.0694,0.1387,0.1495,0.1717,0.4707,1.0000
Pondicherry,0.0398,0.0619,0.0990,0.1336,0.6657,1.0000
Punjab,0.0492,0.1461,0.1373,0.1387,0.5287,1.0000
Rajasthan,0.0865,0.1510,0.1423,0.1408,0.4795,1.0000
Sikkim,0.0122,0.0981,0.1959,0.2486,0.4451,1.0000
Tamil Nadu,0.0950,0.0990,0.1690,0.2087,0.4284,1.0000
Tripura,0.0254,0.1173,0.1615,0.2781,0.4177,1.0000
Uttar Pradesh,0.1359,0.1959,0.1445,0.1390,0.3846,1.0000
Uttarakhand,0.0635,0.1339,0.1238,0.1261,0.5528,1.0000
West Bengal,0.0491,0.1437,0.1404,0.1806,0.4861,1.0000
