Arithmetic Level Results for Enrolled Children - 2010 : All,,,,,,
State,Nothing,NR1to9,NR11to99,Subtraction,Division,Total
All India,0.0759,0.1539,0.1967,0.2154,0.3581,1.0000
Andhra Pradesh & Telengana,0.0402,0.1002,0.2333,0.2388,0.3876,1.0000
Arunachal Pradesh,0.0327,0.1676,0.2449,0.2716,0.2832,1.0000
Assam,0.0808,0.1851,0.2370,0.2395,0.2577,1.0000
Bihar,0.1162,0.1476,0.1396,0.1706,0.4260,1.0000
Chhattisgarh,0.0354,0.1752,0.1904,0.2220,0.3770,1.0000
Dadra & Nagar Haveli,0.0220,0.1319,0.1638,0.1409,0.5415,1.0000
Daman & Diu,0.0720,0.1375,0.2037,0.3288,0.2580,1.0000
Goa,0.0135,0.1022,0.1781,0.1771,0.5290,1.0000
Gujarat,0.0598,0.1658,0.2306,0.2706,0.2731,1.0000
Haryana,0.0401,0.1237,0.1493,0.1691,0.5179,1.0000
Himachal Pradesh,0.0181,0.0911,0.1444,0.2054,0.5408,1.0000
Jammu & Kashmir,NA,NA,NA,NA,NA,NA
Jharkhand,0.0926,0.1737,0.1749,0.1793,0.3794,1.0000
Karnataka,0.0590,0.1329,0.3040,0.2615,0.2426,1.0000
Kerala,0.0079,0.0441,0.1634,0.2506,0.5340,1.0000
Madhya Pradesh,0.0437,0.1559,0.1950,0.2062,0.3993,1.0000
Maharashtra,0.0189,0.1311,0.1918,0.2624,0.3958,1.0000
Manipur,0.0186,0.1005,0.2367,0.2679,0.3763,1.0000
Meghalaya,0.0743,0.1617,0.2690,0.2238,0.2712,1.0000
Mizoram,0.0214,0.0839,0.1908,0.2761,0.4278,1.0000
Nagaland,0.0172,0.1095,0.2962,0.2850,0.2921,1.0000
Odisha,0.0801,0.1503,0.1897,0.2264,0.3536,1.0000
Pondicherry,0.0510,0.0563,0.1333,0.1934,0.5660,1.0000
Punjab,0.0422,0.1216,0.1396,0.1915,0.5051,1.0000
Rajasthan,0.0839,0.1655,0.1816,0.1910,0.3780,1.0000
Sikkim,0.0127,0.0835,0.2320,0.2743,0.3975,1.0000
Tamil Nadu,0.0826,0.0934,0.2376,0.2889,0.2975,1.0000
Tripura,0.0213,0.1216,0.2009,0.2909,0.3652,1.0000
Uttar Pradesh,0.1350,0.2221,0.2040,0.1798,0.2590,1.0000
Uttarakhand,0.0670,0.1481,0.1522,0.1552,0.4775,1.0000
West Bengal,0.0477,0.1499,0.1897,0.2320,0.3807,1.0000
