Enrolment Levels in School - 2016 : All,,,,,
State,Govt,Pvt,Other,Out of School,Total
All India,0.6370,0.3050,0.0100,0.0490,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA
Arunachal Pradesh,0.6840,0.2860,0.0010,0.0290,1.0000
Assam,0.7210,0.2160,0.0180,0.0450,1.0000
Bihar,0.8250,0.1200,0.0130,0.0410,1.0000
Chhattisgarh,0.7540,0.1900,0.0010,0.0550,1.0000
Dadra & Nagar Haveli,0.8600,0.0930,0.0010,0.0450,1.0000
Daman & Diu,0.7770,0.2020,0.0000,0.0210,1.0000
Goa,NA,NA,NA,NA,NA
Gujarat,0.8370,0.1130,0.0010,0.0490,1.0000
Haryana,0.4200,0.5430,0.0060,0.0300,1.0000
Himachal Pradesh,0.6350,0.3560,0.0000,0.0080,1.0000
Jammu & Kashmir,0.6010,0.3360,0.0270,0.0370,1.0000
Jharkhand,0.7660,0.1710,0.0090,0.0540,1.0000
Karnataka,0.6960,0.2800,0.0020,0.0220,1.0000
Kerala,0.4490,0.5470,0.0020,0.0030,1.0000
Madhya Pradesh,0.6860,0.2350,0.0010,0.0780,1.0000
Maharashtra,0.5420,0.4390,0.0020,0.0170,1.0000
Manipur,0.2680,0.7120,0.0010,0.0190,1.0000
Meghalaya,0.4030,0.5430,0.0130,0.0400,1.0000
Mizoram,0.6430,0.3090,0.0160,0.0320,1.0000
Nagaland,0.5500,0.4170,0.0000,0.0330,1.0000
Odisha,0.8640,0.0910,0.0000,0.0450,1.0000
Pondicherry,0.4770,0.5140,0.0030,0.0070,1.0000
Punjab,0.4820,0.4980,0.0010,0.0190,1.0000
Rajasthan,0.5510,0.3770,0.0040,0.0690,1.0000
Sikkim,0.7290,0.2390,0.0000,0.0320,1.0000
Tamil Nadu,0.6740,0.3150,0.0020,0.0100,1.0000
Tripura,0.8820,0.0970,0.0030,0.0180,1.0000
Uttar Pradesh,0.3850,0.5140,0.0230,0.0780,1.0000
Uttarakhand,0.5820,0.3850,0.0100,0.0240,1.0000
West Bengal,0.8490,0.0870,0.0230,0.0410,1.0000
