Reading Level Results For Enrolled Children  - 2008 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0805,0.1450,0.1378,0.1622,0.4745,1.0000
Andhra Pradesh & Telengana,0.0373,0.1220,0.1546,0.1610,0.5251,1.0000
Arunachal Pradesh,0.0267,0.1812,0.1859,0.1832,0.4230,1.0000
Assam,0.0867,0.1584,0.1760,0.1815,0.3975,1.0000
Bihar,0.1292,0.1622,0.1303,0.1424,0.4359,1.0000
Chhattisgarh,0.0175,0.1122,0.1366,0.1783,0.5553,1.0000
Dadra & Nagar Haveli,0.0144,0.1110,0.1521,0.1643,0.5583,1.0000
Daman & Diu,0.0183,0.1106,0.1393,0.2195,0.5123,1.0000
Goa,0.0027,0.0574,0.1273,0.1973,0.6153,1.0000
Gujarat,0.0756,0.1475,0.1584,0.1853,0.4332,1.0000
Haryana,0.0659,0.1200,0.1099,0.1344,0.5698,1.0000
Himachal Pradesh,0.0254,0.1043,0.0978,0.1488,0.6238,1.0000
Jammu & Kashmir,0.0377,0.1561,0.2077,0.2345,0.3640,1.0000
Jharkhand,0.1098,0.1703,0.1432,0.1669,0.4098,1.0000
Karnataka,0.0504,0.1286,0.1684,0.1895,0.4631,1.0000
Kerala,0.0056,0.0574,0.1275,0.1541,0.6554,1.0000
Madhya Pradesh,0.0091,0.1039,0.1202,0.1628,0.6040,1.0000
Maharashtra,0.0246,0.0940,0.1185,0.1795,0.5834,1.0000
Manipur,0.0134,0.1318,0.1715,0.2068,0.4765,1.0000
Meghalaya,0.0438,0.1837,0.2392,0.1900,0.3432,1.0000
Mizoram,0.0299,0.1292,0.1590,0.1421,0.5398,1.0000
Nagaland,0.0124,0.1343,0.2182,0.1928,0.4423,1.0000
Odisha,0.0731,0.1373,0.1250,0.1380,0.5265,1.0000
Pondicherry,0.0500,0.0846,0.1744,0.1895,0.5014,1.0000
Punjab,0.0455,0.1477,0.1316,0.1676,0.5076,1.0000
Rajasthan,0.0989,0.1497,0.1204,0.1437,0.4871,1.0000
Sikkim,0.0135,0.1068,0.2059,0.2246,0.4493,1.0000
Tamil Nadu,0.1082,0.1124,0.1713,0.1977,0.4104,1.0000
Tripura,0.0692,0.0918,0.1885,0.2586,0.3919,1.0000
Uttar Pradesh,0.1515,0.2143,0.1209,0.1334,0.3800,1.0000
Uttarakhand,0.0587,0.1249,0.1137,0.1551,0.5475,1.0000
West Bengal,0.0541,0.1358,0.1599,0.2081,0.4422,1.0000
