Arithmetic Level Results for Enrolled Children - 2013 : All,,,,,,
State,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Total
All India,0.1010,0.1880,0.2620,0.1920,0.2570,1.0000
Andhra Pradesh & Telengana,0.0650,0.0920,0.2800,0.2470,0.3160,1.0000
Arunachal Pradesh,NA,NA,NA,NA,NA,NA
Assam,0.1120,0.2390,0.2890,0.2290,0.1300,1.0000
Bihar,0.1480,0.1970,0.1860,0.1470,0.3220,1.0000
Chhattisgarh,0.0810,0.2380,0.3060,0.1820,0.1930,1.0000
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman & Diu,NA,NA,NA,NA,NA,NA
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.0960,0.2170,0.2870,0.2160,0.1840,1.0000
Haryana,0.0560,0.1450,0.2000,0.1890,0.4100,1.0000
Himachal Pradesh,0.0260,0.0990,0.2240,0.2270,0.4240,1.0000
Jammu & Kashmir,0.0430,0.1170,0.3080,0.2880,0.2450,1.0000
Jharkhand,0.1270,0.2120,0.2300,0.1710,0.2610,1.0000
Karnataka,0.0430,0.1390,0.3010,0.2780,0.2390,1.0000
Kerala,0.0130,0.0690,0.3150,0.2150,0.3890,1.0000
Madhya Pradesh,0.1270,0.2490,0.2770,0.1600,0.1870,1.0000
Maharashtra,0.0800,0.2020,0.3600,0.1800,0.1780,1.0000
Manipur,0.0320,0.0750,0.3250,0.2380,0.3300,1.0000
Meghalaya,0.0660,0.1490,0.3940,0.2680,0.1230,1.0000
Mizoram,0.0320,0.1000,0.2480,0.2720,0.3480,1.0000
Nagaland,0.0560,0.0860,0.3450,0.3070,0.2060,1.0000
Odisha,0.1060,0.1780,0.2630,0.2100,0.2420,1.0000
Pondicherry,0.0420,0.1090,0.3610,0.2390,0.2490,1.0000
Punjab,0.0520,0.1220,0.2160,0.2250,0.3860,1.0000
Rajasthan,0.1160,0.2030,0.2200,0.1680,0.2930,1.0000
Sikkim,0.0190,0.0620,0.1950,0.3100,0.4140,1.0000
Tamil Nadu,0.0680,0.0970,0.3310,0.2680,0.2360,1.0000
Tripura,0.0410,0.1690,0.3440,0.2450,0.2010,1.0000
Uttar Pradesh,0.1380,0.2390,0.2230,0.1590,0.2400,1.0000
Uttarakhand,0.0910,0.1790,0.2460,0.1860,0.2980,1.0000
West Bengal,0.0700,0.1850,0.2950,0.1870,0.2630,1.0000
