Reading Level Results For Enrolled Children  - 2013 : All,,,,,,
State,Nothing,Letter,Word,Std1_Para,Std2_Para,Total
All India,0.1260,0.1630,0.1240,0.1420,0.4440,1.0000
Andhra Pradesh & Telengana,0.0840,0.1210,0.1550,0.1630,0.4770,1.0000
Arunachal Pradesh,NA,NA,NA,NA,NA,NA
Assam,0.1420,0.1770,0.1710,0.1810,0.3290,1.0000
Bihar,0.1870,0.1850,0.1030,0.1250,0.4000,1.0000
Chhattisgarh,0.1100,0.1800,0.0890,0.1190,0.5020,1.0000
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman & Diu,NA,NA,NA,NA,NA,NA
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.1050,0.1370,0.1220,0.1560,0.4800,1.0000
Haryana,0.0800,0.1340,0.0980,0.1300,0.5580,1.0000
Himachal Pradesh,0.0380,0.1170,0.0850,0.1280,0.6310,1.0000
Jammu & Kashmir,0.0460,0.1740,0.1550,0.2080,0.4180,1.0000
Jharkhand,0.1540,0.1820,0.1460,0.1510,0.3670,1.0000
Karnataka,0.0530,0.1540,0.1760,0.1870,0.4300,1.0000
Kerala,0.0180,0.1000,0.1390,0.0900,0.6520,1.0000
Madhya Pradesh,0.1420,0.2210,0.1400,0.1340,0.3630,1.0000
Maharashtra,0.1020,0.1180,0.1030,0.1600,0.5170,1.0000
Manipur,0.0340,0.1610,0.1530,0.1790,0.4730,1.0000
Meghalaya,0.0730,0.1630,0.1660,0.2050,0.3930,1.0000
Mizoram,0.0360,0.1440,0.1650,0.1910,0.4640,1.0000
Nagaland,0.0580,0.1240,0.1990,0.2410,0.3780,1.0000
Odisha,0.1150,0.1400,0.1280,0.1480,0.4690,1.0000
Pondicherry,0.0850,0.1520,0.1620,0.2150,0.3860,1.0000
Punjab,0.0810,0.1490,0.1020,0.1250,0.5430,1.0000
Rajasthan,0.1440,0.1640,0.0960,0.1170,0.4800,1.0000
Sikkim,0.0170,0.0760,0.1460,0.2430,0.5190,1.0000
Tamil Nadu,0.0950,0.1120,0.1760,0.2090,0.4080,1.0000
Tripura,0.0650,0.1540,0.2060,0.1930,0.3820,1.0000
Uttar Pradesh,0.1740,0.2040,0.1010,0.1140,0.4070,1.0000
Uttarakhand,0.1110,0.1560,0.0890,0.1280,0.5160,1.0000
West Bengal,0.0930,0.1420,0.1320,0.1460,0.4870,1.0000
